"Messages";"Tin nhắn"
"Send a New Message";"Gửi tin nhắn mới"
"See All Messages";"Xem tất cả tin nhắn"
"You have no new messages.";"Bạn không có tin nhắn mới."
"Friend Requests";"Yêu cầu kết bạn"
"You have no new friend requests.";"Bạn không có yêu cầu kết bạn mới."
"Find Friends";"Tìm bạn"
"See All Friend Requests";"Xem tất cả yêu cầu kết bạn"
"Notifications";"Thông báo"
"See All Notifications";"Xem tất cả thông báo"
"You have no new updates.";"Bạn không có cập nhật mới"
"Your Notifications";"Thông báo của bạn"
"You have no notifications.";"Bạn không có thông báo mới."
"Mark All Read";"Đánh dấu đã đọc tất cả"
"View More";"Xem thêm"
"Loading ...";"Loading ..."
"Friend Request (%d)";"Yêu cầu kết bạn (%d)";"Yêu cầu kết bạn (%d)"
"You have no requests.";"Bạn không có yêu cầu mới."
"Friend request has been canceled.";"Yêu cầu kết bạn đã bị hủy."
"Friend request accepted.";"Yêu cầu kết bạn được chấp nhận."
"%s mutual friend";"%s bạn bè chung";"%s bạn bè chung"
"Confirm";"Xác nhận"
"Not Now";"Không phải bây giờ"